DrugBank ID,Name,Drug group,Pharmacological action?,Actions,Accession,Details,PUBCHEM ID
DB09130,Copper,"approved, investigational",unknown,,P01042,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01042,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01042,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,cofactor,P01042,Details,3007855
DB00569,Fondaparinux,"approved, investigational",yes,potentiator,P01008,Details,5282448
DB04464,N-Formylmethionine,experimental,unknown,,P01008,Details,439750
DB09130,Copper,"approved, investigational",unknown,,P01008,Details,23978
DB00114,Pyridoxal phosphate,"approved, investigational, nutraceutical",unknown,cofactor,P24298,Details,1051
DB00160,Alanine,nutraceutical,unknown,,P24298,Details,5950
DB00142,Glutamic acid,"approved, nutraceutical",unknown,,P24298,Details,33032
DB00780,Phenelzine,approved,unknown,inhibitor,P24298,Details,3675
DB04716,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",experimental,unknown,,P29597,Details,5494425
DB08895,Tofacitinib,"approved, investigational",unknown,,P29597,Details,9926791
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P29597,Details,11671467
DB08877,Ruxolitinib,approved,yes,inhibitor,P29597,Details,25126798
DB09130,Copper,"approved, investigational",unknown,,P01031,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01031,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01031,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,ligand,P01031,Details,3007855
DB01017,Minocycline,"approved, investigational",unknown,inhibitor,P15692,Details,54675783
DB01120,Gliclazide,approved,unknown,other/unknown,P15692,Details,3475
DB01136,Carvedilol,"approved, investigational",unknown,other,P15692,Details,2585
DB03088,Pidolic acid,"approved, investigational",unknown,,P15692,Details,7405
DB05294,Vandetanib,approved,unknown,inhibitor,P15692,Details,3081361
DB05434,ABT-510,investigational,unknown,,P15692,Details,6918562
DB05932,Denibulin,investigational,unknown,,P15692,Details,11661758
DB05969,SNS-032,investigational,unknown,,P15692,Details,3025986
DB04869,Olcegepant,investigational,unknown,,P06881,Details,6918509
DB12228,Telcagepant,investigational,unknown,,P06881,Details,11319053
DB00586,Diclofenac,"approved, vet_approved",unknown,,P02766,Details,3033
DB00861,Diflunisal,"approved, investigational",unknown,,P02766,Details,3059
DB01751,Tetraiodothyroacetic acid,experimental,unknown,,P02766,Details,65552
DB01093,Dimethyl sulfoxide,"approved, vet_approved",unknown,,P02766,Details,679
DB02179,O-Trifluoromethylphenyl Anthranilic Acid,experimental,unknown,,P02766,Details,445155
DB02266,Flufenamic acid,approved,unknown,,P02766,Details,3371
DB02417,"2,4,6-Tribromophenol",experimental,unknown,,P02766,Details,1483
DB02698,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",experimental,unknown,,P02766,Details,4310
DB02709,Resveratrol,investigational,unknown,,P02766,Details,445154
DB03167,Pentabromophenol,experimental,unknown,,P02766,Details,11852
DB03239,"3',5'-Dinitro-N-Acetyl-L-Thyronine",experimental,unknown,,P02766,Details,449394
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid",experimental,unknown,,P02766,Details,3022
DB00255,Diethylstilbestrol,"approved, investigational",unknown,,P02766,Details,448537
DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",experimental,unknown,,P02766,Details,4369477
DB00451,Levothyroxine,approved,no,,P02766,Details,5819
DB00279,Liothyronine,"approved, vet_approved",unknown,,P02766,Details,5920
DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID",experimental,unknown,,P02766,Details,8631
DB06885,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid,experimental,unknown,,P02766,Details,10400412
DB06907,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID",experimental,unknown,,P02766,Details,5327160
DB06935,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",experimental,unknown,,P02766,Details,5327159
DB04474,8-anilinonaphthalene-1-sulfonic acid,experimental,unknown,,P02766,Details,1369
DB07047,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID",experimental,unknown,,P02766,Details,5287495
DB07176,1-Naphthylamine-5-sulfonic acid,experimental,unknown,,P02766,Details,6793
DB07201,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid,experimental,unknown,,P02766,Details,46937059
DB07240,3-[(9H-fluoren-9-ylideneamino)oxy]propanoic acid,experimental,unknown,,P02766,Details,15627868
DB07282,3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid,experimental,unknown,,P02766,Details,44129627
DB07693,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide",experimental,unknown,,P02766,Details,25210478
DB07694,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide",experimental,unknown,,P02766,Details,5119267
DB07695,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide",experimental,unknown,,P02766,Details,25210479
DB07753,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",experimental,unknown,,P02766,Details,5288193
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",experimental,unknown,,P02766,Details,128600
DB07775,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE",experimental,unknown,,P02766,Details,5288217
DB01645,Genistein,investigational,unknown,,P02766,Details,5280961
DB07962,"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE",experimental,unknown,,P02766,Details,25150855
DB07963,"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE",experimental,unknown,,P02766,Details,25150856
DB08100,"2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol",experimental,unknown,,P02766,Details,6365297
DB08101,"2,6-dibromo-4-[(E)-2-phenylethenyl]phenol",experimental,unknown,,P02766,Details,25129137
DB08102,"3,5-dibromobiphenyl-4-ol",experimental,unknown,,P02766,Details,243556
DB08103,"2,6-dibromo-4-phenoxyphenol",experimental,unknown,,P02766,Details,10831270
DB08104,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide",experimental,unknown,,P02766,Details,1184681
DB08205,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL",experimental,unknown,,P02766,Details,135566325
DB08206,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL",experimental,unknown,,P02766,Details,135566326
DB08207,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE",experimental,unknown,,P02766,Details,23722944
DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",experimental,unknown,,P02766,Details,97032
DB01583,Liotrix,approved,unknown,,P02766,Details,71371
DB09130,Copper,"approved, investigational",unknown,,P02766,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P02766,Details,23994
DB11644,Tafamidis,"approved, investigational",yes,chaperone,P02766,Details,11001318
DB14487,Zinc acetate,"approved, investigational",unknown,,P02766,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,inducer,P02766,Details,3007855
DB01349,Tasosartan,experimental,unknown,antagonist,P50052,Details,60919
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P19875,Details,6918483
DB00198,Oseltamivir,approved,unknown,inhibitor,Q99519,Details,65028
DB00212,Remikiren,experimental,yes,inhibitor,P00797,Details,6324659
DB01844,"N,N-dimethylformamide",experimental,unknown,,P00797,Details,6228
DB02296,Isoamyl alcohol,experimental,unknown,,P00797,Details,31260
DB02803,"3-Phenyl-1,2-Propandiol",experimental,unknown,,P00797,Details,446127
DB03395,Enalkiren,experimental,unknown,inhibitor,P00797,Details,60594
DB03736,2-Cyclopropylmethylenepropanal,experimental,unknown,,P00797,Details,5287974
DB03968,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",experimental,unknown,,P00797,Details,444570
DB04387,1-Hydroxy-2-Amino-3-Cyclohexylpropane,experimental,unknown,,P00797,Details,444569
DB06899,"N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE",experimental,unknown,,P00797,Details,6914625
DB06967,"6-ETHYL-5-[9-(3-METHOXYPROPYL)-9H-CARBAZOL-2-YL]PYRIMIDINE-2,4-DIAMINE",experimental,unknown,,P00797,Details,6914626
DB07059,"N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOXAZIN-4-YL]ETHYL}ACETAMIDE",experimental,unknown,,P00797,Details,6914627
DB07113,"(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE",experimental,unknown,,P00797,Details,20843156
DB07174,"6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-4-(3-METHOXYPROPYL)-2,2-DIMETHYL-2H-1,4-BENZOXAZIN-3(4H)-ONE",experimental,unknown,,P00797,Details,6914629
DB07244,"5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE",experimental,unknown,,P00797,Details,6914633
DB03024,2-Methyl-3-(2-Aminothiazolo)Propanal,experimental,unknown,,P00797,Details,5288557
DB08099,"6-ethyl-5-[(2S)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine",experimental,unknown,,P00797,Details,11963546
DB04379,N-Methyl-N-(Methylbenzyl)Formamide,experimental,unknown,,P00797,Details,444567
DB09026,Aliskiren,"approved, investigational",yes,inhibitor,P00797,Details,5493444
DB00350,Minoxidil,"approved, investigational",unknown,,P00797,Details,4201
DB00722,Lisinopril,"approved, investigational",unknown,inhibitor,P00797,Details,5362119
DB05476,WX-UK1,investigational,unknown,,Q03405,Details,9939426
DB02342,2-Methoxyestradiol,investigational,unknown,,Q16665,Details,66414
DB06082,PX-478,investigational,unknown,,Q16665,Details,11234794
DB05959,ENMD-1198,investigational,unknown,,Q16665,Details,11483754
DB08687,FG-2216,investigational,unknown,,Q16665,Details,6914666
DB01136,Carvedilol,"approved, investigational",unknown,modulator,Q16665,Details,2585
DB01275,Hydralazine,approved,unknown,inducer,Q16665,Details,3637
DB00142,Glutamic acid,"approved, nutraceutical",unknown,,Q07075,Details,33032
DB00499,Flutamide,"approved, investigational",yes,antagonist,P10275,Details,3397
DB00621,Oxandrolone,"approved, investigational",yes,agonist,P10275,Details,5878
DB00624,Testosterone,"approved, investigational",yes,agonist,P10275,Details,6013
DB00984,Nandrolone phenpropionate,"approved, illicit, investigational",yes,agonist,P10275,Details,229455
DB01128,Bicalutamide,approved,yes,antagonist,P10275,Details,2375
DB00858,Drostanolone,illicit,yes,agonist,P10275,Details,6011
DB01185,Fluoxymesterone,"approved, illicit",yes,agonist,P10275,Details,6446
DB00665,Nilutamide,"approved, investigational",yes,antagonist,P10275,Details,4493
DB01481,1-Testosterone,"experimental, illicit, investigational",yes,agonist,P10275,Details,236666
DB01541,Boldenone,"illicit, vet_approved",yes,agonist,P10275,Details,13308
DB04839,Cyproterone acetate,"approved, investigational",yes,antagonist,P10275,Details,9880
DB01564,Calusterone,"experimental, illicit",yes,,P10275,Details,28204
DB05234,LGD2941,investigational,unknown,,P10275,Details,16750192
DB02901,Stanolone,"illicit, investigational",unknown,,P10275,Details,10635
DB06412,Oxymetholone,"approved, illicit",yes,agonistactivator,P10275,Details,5281034
DB01395,Drospirenone,approved,yes,antagonist,P10275,Details,68873
DB01406,Danazol,approved,yes,agonist,P10275,Details,28417
DB06870,Tetrahydrogestrinone,experimental,unknown,,P10275,Details,6857686
DB02932,(R)-Bicalutamide,experimental,unknown,,P10275,Details,56069
DB07039,(2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide,experimental,unknown,,P10275,Details,24892823
DB07286,BMS-564929,experimental,unknown,,P10275,Details,9882972
DB07419,S-23,experimental,unknown,,P10275,Details,24892822
DB07421,"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",experimental,unknown,,P10275,Details,46937071
DB07422,(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,experimental,unknown,,P10275,Details,10174090
DB07423,Andarine,experimental,unknown,,P10275,Details,9824562
DB07454,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,experimental,unknown,,P10275,Details,5287785
DB07717,"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE",experimental,unknown,,P10275,Details,16750073
DB07769,S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,experimental,unknown,,P10275,Details,5288215
DB02266,Flufenamic acid,approved,unknown,,P10275,Details,3371
DB04709,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",experimental,unknown,,P10275,Details,5326911
DB08035,"1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE",experimental,unknown,,P10275,Details,11522441
DB08087,"4-[(7R,7AS)-7-HYDROXY-1,3-DIOXOTETRAHYDRO-1H-PYRROLO[1,2-C]IMIDAZOL-2(3H)-YL]-1-NAPHTHONITRILE",experimental,unknown,,P10275,Details,9944398
DB08088,"2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-methylbenzonitrile",experimental,unknown,,P10275,Details,11428356
DB08089,LGD-2226,experimental,unknown,,P10275,Details,11560224
DB02998,Metribolone,experimental,unknown,,P10275,Details,261000
DB08461,"3-[(4-AMINO-1-TERT-BUTYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL)METHYL]PHENOL",experimental,unknown,,P10275,Details,16750071
DB08804,Nandrolone decanoate,"approved, illicit",yes,agonist,P10275,Details,9677
DB01420,Testosterone propionate,"approved, investigational, vet_approved, withdrawn",yes,agonist,P10275,Details,5995
DB06710,Methyltestosterone,approved,yes,agonist,P10275,Details,6010
DB00367,Levonorgestrel,"approved, investigational",unknown,binder,P10275,Details,13109
DB00421,Spironolactone,approved,unknown,antagonist,P10275,Details,5833
DB08867,Ulipristal,approved,unknown,,P10275,Details,13559281
DB08899,Enzalutamide,approved,yes,inhibitor,P10275,Details,15951529
DB01026,Ketoconazole,"approved, investigational",unknown,binder,P10275,Details,3823
DB09389,Norgestrel,approved,unknown,agonist,P10275,Details,4542
DB01708,Prasterone,"approved, investigational, nutraceutical",unknown,agonist,P10275,Details,5881
DB13155,Esculin,approved,unknown,agonist,P10275,Details,5281417
DB00655,Estrone,approved,unknown,,P10275,Details,5870
DB11429,Mibolerone,vet_approved,unknown,,P10275,Details,251636
DB00675,Tamoxifen,approved,unknown,,P10275,Details,2733526
DB01428,Oxybenzone,"approved, investigational",unknown,antagonist,P10275,Details,4632
DB11219,Enzacamene,approved,unknown,antagonist,P10275,Details,6434217
DB11064,Homosalate,"approved, investigational",unknown,antagonist,P10275,Details,8362
DB00255,Diethylstilbestrol,"approved, investigational",unknown,antagonist,P10275,Details,448537
DB06713,Norelgestromin,"approved, investigational",unknown,partial agonist,P10275,Details,62930
DB00957,Norgestimate,"approved, investigational",unknown,partial agonist,P10275,Details,6540478
DB01063,Acetophenazine,approved,unknown,,P10275,Details,17676
DB00623,Fluphenazine,approved,unknown,,P10275,Details,3372
DB01608,Periciazine,"approved, investigational",unknown,,P10275,Details,4747
DB11447,Phenothiazine,"experimental, vet_approved",unknown,,P10275,Details,7108
DB09086,Eugenol,approved,unknown,antagonist,P10275,Details,3314
DB09371,Norethynodrel,approved,unknown,,P10275,Details,6231
DB00396,Progesterone,"approved, vet_approved",unknown,agonistpotentiator,P10275,Details,5994
DB08604,Triclosan,"approved, investigational",unknown,,P10275,Details,5564
DB00648,Mitotane,approved,unknown,antagonist,P10275,Details,4211
DB09123,Dienogest,approved,yes,antagonist,P10275,Details,68861
DB13934,Ligandrol,investigational,unknown,antagonistagonist,P10275,Details,44137686
DB13943,Testosterone cypionate,approved,yes,agonist,P10275,Details,441404
DB13944,Testosterone enanthate,approved,yes,agonist,P10275,Details,9416
DB13946,Testosterone undecanoate,"approved, investigational",yes,agonist,P10275,Details,65157
DB13951,Stanolone acetate,experimental,unknown,,P10275,Details,11809740
DB11901,Apalutamide,"approved, investigational",yes,antagonist,P10275,Details,24872560
DB11619,Gestrinone,approved,unknown,antagonist,P10275,Details,27812
DB06133,Dimethylcurcumin,investigational,yes,inhibitor,P10275,Details,6477182
DB14583,Segesterone acetate,"approved, experimental, investigational",no,agonist,P10275,Details,108059
DB14639,Boldenone undecylenate,"illicit, vet_approved",yes,,P10275,Details,11954310
DB06718,Stanozolol,"approved, vet_approved",yes,agonist,P10275,Details,25249
DB15488,Echinacoside,experimental,unknown,agonist,P10275,Details,5281771
DB00717,Norethisterone,approved,unknown,agonist,P10275,Details,6230
DB12941,Darolutamide,"approved, investigational",yes,antagonist,P10275,Details,67171867
DB12499,Clascoterone,"approved, investigational",yes,antagonist,P10275,Details,11750009
DB03963,S-(Dimethylarsenic)Cysteine,experimental,unknown,,O60603,Details,17753880
DB05475,Golotimod,investigational,unknown,,O60603,Details,6992140
DB00210,Adapalene,approved,yes,antagonist,O60603,Details,60164
DB00540,Nortriptyline,approved,unknown,binder,Q99720,Details,4543
DB01104,Sertraline,approved,unknown,inhibitorbinder,Q99720,Details,68617
DB07022,3-Hydroxypropyl 3-[(7-carbamimidoyl-1-naphthyl)carbamoyl]benzenesulfonate,experimental,unknown,,P03951,Details,11304895
DB07023,"(1R)-2-[(Diaminomethylene)amino]-1-{4-[(4R)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",experimental,unknown,,P03951,Details,6857688
DB07071,"(R)-1-(4-(4-(Hydroxymethyl)-1,3,2-dioxaborolan-2-YL)phenethyl)guanidine",experimental,unknown,,P03951,Details,6857691
DB07074,6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER,experimental,unknown,,P03951,Details,6852141
DB07077,"(R)-1-(4-(4-(Hydroxymethyl)-1,3,2-dioxaborolan-2-YL)phenyl)guanidine",experimental,unknown,,P03951,Details,6857692
DB07212,N-(7-CARBAMIMIDOYL-NAPHTHALEN-1-YL)-3-HYDROXY-2-METHYL-BENZAMIDE,experimental,unknown,,P03951,Details,6852140
DB07299,4-METHYL-PENTANOIC ACID {1-[4-GUANIDINO-1-(THIAZOLE-2-CARBONYL)-BUTYLCARBAMOYL]-2-METHYL-PROPYL}-AMIDE,experimental,unknown,,P03951,Details,6857702
DB07887,"(R)-1-(4-(4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl)benzyl)guanidine",experimental,unknown,,P03951,Details,6857719
DB14533,Zinc chloride,"approved, investigational",unknown,activator,P03951,Details,3007855
DB02322,Heparin Disaccharide I-S,experimental,unknown,,P13501,Details,5288499
DB02353,Heparin Disaccharide Iii-S,experimental,unknown,,P13501,Details,5288504
DB01162,Terazosin,approved,yes,inducer,P01137,Details,5401
DB01827,"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",experimental,unknown,,P17931,Details,657081
DB04465,Lactose,"approved, experimental, investigational",unknown,,P17931,Details,440995
DB09130,Copper,"approved, investigational",unknown,,P02649,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P02649,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P02649,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,antagonist,P02649,Details,3007855
DB01097,Leflunomide,"approved, investigational",unknown,agonist,P35869,Details,3899
DB00499,Flutamide,"approved, investigational",unknown,agonist,P35869,Details,3397
DB00393,Nimodipine,"approved, investigational",unknown,agonist,P35869,Details,4497
DB00379,Mexiletine,"approved, investigational",unknown,agonist,P35869,Details,4178
DB01076,Atorvastatin,approved,unknown,agonist,P35869,Details,60823
DB06732,beta-Naphthoflavone,experimental,unknown,,P35869,Details,2361
DB12116,Epigallocatechin gallate,investigational,unknown,,P35869,Details,65064
DB11577,Indigotindisulfonic acid,approved,unknown,,P35869,Details,3705
DB12328,Cantharidin,"approved, investigational",unknown,agonist,P35869,Details,5944
DB08995,Diosmin,"approved, investigational",unknown,agonist,P35869,Details,5281613
DB07715,Emodin,investigational,unknown,agonist,P35869,Details,3220
DB02052,Indirubin-3'-monoxime,experimental,unknown,agonist,P35869,Details,3707
DB12379,Indirubin,investigational,unknown,agonist,P35869,Details,10177
DB02709,Resveratrol,investigational,unknown,,P35869,Details,445154
DB08624,"1-[(4S)-4-amino-5-(1,3-benzothiazol-2-yl)-5-oxopentyl]guanidine",experimental,unknown,,P35869,Details,46937165
DB04216,Quercetin,"experimental, investigational",unknown,,P35869,Details,5280343
DB11937,Kynurenic Acid,investigational,unknown,,P35869,Details,3845
DB00338,Omeprazole,"approved, investigational, vet_approved",unknown,agonist,P35869,Details,4594
DB02285,Protoporphyrin,experimental,unknown,,P02792,Details,4971
DB06784,Gallium citrate Ga-67,approved,yes,substrate,P02792,Details,65430
DB09517,Sodium ferric gluconate complex,approved,yes,binding,P02792,Details,76968835
DB09147,Ferric pyrophosphate,experimental,yes,binder,P02792,Details,24877
DB13995,Ferric pyrophosphate citrate,"approved, investigational",yes,binder,P02792,Details,145994608
DB06215,Ferumoxytol,"approved, investigational",yes,storage,P02792,Details,6432052
DB00570,Vinblastine,approved,no,other/unknown,P05412,Details,13342
DB01029,Irbesartan,"approved, investigational",unknown,other/unknown,P05412,Details,3749
DB01169,Arsenic trioxide,"approved, investigational",yes,inducer,P05412,Details,261004
DB00210,Adapalene,approved,yes,antagonist,P05412,Details,60164
DB00006,Bivalirudin,"approved, investigational",yes,inhibitor,P00734,Details,16129704
DB00278,Argatroban,"approved, investigational",yes,inhibitor,P00734,Details,92722
DB00170,Menadione,"approved, nutraceutical",unknown,activator,P00734,Details,4055
DB01123,Proflavine,approved,no,other/unknown,P00734,Details,7099
DB02723,"4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide",experimental,unknown,,P00734,Details,5326608
DB03847,gamma-carboxy-L-glutamic acid,experimental,unknown,,P00734,Details,104625
DB04136,Lysophosphotidylserine,experimental,unknown,,P00734,Details,17754066
DB04898,Ximelagatran,"approved, investigational, withdrawn",yes,inhibitor,P00734,Details,9574101
DB04591,"N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE",experimental,unknown,,P00734,Details,5287492
DB04697,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,experimental,unknown,,P00734,Details,5288332
DB04722,"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide",experimental,unknown,,P00734,Details,4369429
DB04771,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,experimental,unknown,,P00734,Details,5494439
DB04772,1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE,experimental,unknown,,P00734,Details,5494440
DB04786,Suramin,investigational,unknown,inhibitor,P00734,Details,5361
DB05714,Flovagatran,investigational,unknown,,P00734,Details,9871747
DB06695,Dabigatran etexilate,approved,yes,inhibitor,P00734,Details,135565674
DB06838,methyl L-phenylalaninate,experimental,unknown,,P00734,Details,736234
DB06841,"[(2R)-1-[(2S)-2-[[(2S,3S)-1-Chloro-6-(diaminomethylideneamino)-2-hydroxyhexan-3-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-3-phenylpropan-2-yl]azanium",experimental,unknown,,P00734,Details,131704300
DB06845,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide,experimental,unknown,,P00734,Details,23629654
DB06850,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide,experimental,unknown,,P00734,Details,44141860
DB06853,N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,experimental,unknown,,P00734,Details,25113614
DB01725,"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",experimental,unknown,,P00734,Details,1504
DB03865,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,experimental,unknown,,P00734,Details,445843
DB06858,N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,experimental,unknown,,P00734,Details,46937030
DB06859,N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE,experimental,unknown,,P00734,Details,657007
DB06861,6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE,experimental,unknown,,P00734,Details,6323178
DB06865,6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,experimental,unknown,,P00734,Details,448123
DB06866,6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,experimental,unknown,,P00734,Details,5496862
DB06868,N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide,experimental,unknown,,P00734,Details,42615253
DB06869,1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE,experimental,unknown,,P00734,Details,448677
DB06878,1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide,experimental,unknown,,P00734,Details,25113126
DB06911,D-leucyl-N-(3-chlorobenzyl)-L-prolinamide,experimental,unknown,,P00734,Details,25113127
DB06919,D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide,experimental,unknown,,P00734,Details,25011732
